asin,title,description,brand,category,price
B09B8YWXTS,Instant Pot Duo 7-in-1,Multi cooker pressure cooker slow cooker rice cooker steamer saute and warmer 6 quart,Instant Pot,Kitchen Appliances,79.99
B07FZ8S74R,Fitbit Charge 5,Advanced fitness and health tracker with built in GPS stress management tools and sleep tracking,Fitbit,Fitness Trackers,129.99
B08N5WRWNW,Echo Dot 4th Gen,Smart speaker with Alexa clock display and improved audio,Amazon,Smart Speakers,49.99
B09G9HD6PD,Anker 65W USB C Charger,Compact fast charger with foldable plug for laptop phone and tablet charging,Anker,Phone Accessories,35.99
B07ZPKBL9V,Neutrogena Hydro Boost Face Moisturiser,Water gel moisturiser with hyaluronic acid for dry skin hydration all day,Neutrogena,Skincare,18.99
B08KHL6X4Z,Nike Air Max 270 Mens Running Shoe,Lightweight running shoe with large air unit heel cushioning and mesh upper,Nike,Footwear,119.99
B09JQMJHXY,Optimum Nutrition Gold Standard Whey,100 percent whey protein powder chocolate flavour 2lb tub 29g protein per serving,Optimum Nutrition,Sports Nutrition,39.99
B07YTF8JTK,Philips Hue White and Colour Ambiance Starter Kit,Smart LED bulbs with bridge 16 million colours voice control and app control,Philips,Smart Lighting,79.99
B08C1W5N87,Kindle Paperwhite 11th Gen,Waterproof e-reader with 6.8 inch display adjustable warm light and 8GB storage,Amazon,E-Readers,139.99
B07XJ8C8F7,L Oreal Paris Elvive Extraordinary Oil,Nourishing hair oil serum for dry and damaged hair frizz control and shine,L Oreal,Hair Care,9.99
